,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,esperance,36,75,-33.86,121.89,66.44,8.23
1,lashio,0,62,22.93,97.75,76.34,2.59
2,gao,64,27,16.28,-0.04,76.34,7.85
3,skerries,75,93,53.58,-6.11,36.32,5.82
4,nehe,68,61,48.48,124.88,53.3,19.53
5,byron bay,90,69,-28.65,153.62,78.8,6.93
6,conceicao da barra,0,95,-18.59,-39.73,77.96,7.34
7,ushuaia,64,90,-54.81,-68.31,43.58,17.18
8,sisimiut,68,85,66.94,-53.67,20.09,2.08
9,pokhara,24,56,28.21,83.99,59.78,2.82
10,tevaitoa,100,100,-16.78,-151.5,81.38,13.44
11,port alfred,12,96,-33.59,26.89,68.78,11.77
12,wanaka,8,39,-44.7,169.14,57.53,2.82
13,auray,0,100,47.67,-2.99,35.6,2.24
14,xianyang,0,35,34.31,108.72,71.6,6.71
15,carnarvon,0,79,-24.87,113.63,81.65,18.03
16,san pedro,0,86,-33.68,-59.66,69.95,15.9
17,kita,0,61,13.04,-9.49,75.08,6.85
18,shieli,0,62,44.18,66.74,34.76,17.13
19,mirganj,0,59,26.37,84.34,77.87,12.66
20,araguaina,0,88,-7.19,-48.21,75.35,5.73
21,lamu,100,97,-2.27,40.9,79.04,3.71
22,dalianwan,0,76,39.03,121.69,48.2,13.42
23,reo,0,62,12.32,-2.47,74.0,7.74
24,manggar,24,97,-2.88,108.27,83.81,6.29
25,farsund,88,100,58.09,6.8,31.79,3.76
26,taoudenni,36,37,22.68,-3.98,70.76,3.38
27,avarua,75,79,-21.21,-159.78,86.0,4.7
28,mitsamiouli,32,100,-11.38,43.28,79.4,4.72
29,nuuk,64,98,64.17,-51.74,32.0,3.36
30,locri,20,67,38.24,16.26,57.2,12.75
31,southbridge,12,48,-43.81,172.25,64.4,14.99
32,hami,8,40,42.84,93.51,65.27,6.06
33,praxedis guerrero,75,8,31.37,-106.02,75.42,5.82
34,chodavaram,0,78,17.44,81.78,80.39,3.09
35,mount isa,0,28,-20.73,139.49,95.0,12.75
36,kirakira,36,100,-10.46,161.92,83.99,8.08
37,lomovka,75,57,53.92,58.37,19.4,11.18
38,coihaique,0,87,-45.58,-72.07,42.8,1.12
39,butaritari,24,99,3.07,172.79,83.27,14.12
40,upernavik,8,71,72.79,-56.15,13.52,2.59
41,sidmouth,75,86,50.68,-3.24,42.26,2.24
42,grand-santi,64,93,4.27,-54.38,74.9,3.38
43,oistins,40,83,13.07,-59.53,77.0,13.87
44,gorom-gorom,48,28,14.45,-0.24,72.38,7.0
45,celestun,0,99,20.87,-90.4,76.79,16.8
46,yellowknife,75,43,62.45,-114.38,15.8,11.41
47,parati,20,88,-20.51,-54.63,73.4,8.05
48,bilma,0,44,18.69,12.92,56.45,2.82
49,goundam,88,22,16.42,-3.66,85.25,8.3
50,east london,80,100,-33.02,27.91,72.02,15.12
51,bontang,12,92,0.12,117.47,84.89,7.34
